,image,label
1,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672126/VA2257.png,metal
2,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672125/VA2256.png,metal
3,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672124/VA2255.png,metal
4,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672123/VA2254.png,metal
5,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672122/VA2253.png,metal
6,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672121/VA2252.png,metal
7,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672120/VA2251.png,metal
8,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672118/VA2250.png,metal
9,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672118/VA2249.png,metal
10,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672117/VA2248.png,clay_tile
11,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672116/VA2247.png,metal
12,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672115/VA2246.png,metal
13,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672114/VA2245.png,metal
14,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672114/VA2244.png,metal
15,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672113/VA2243.png,metal
16,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672112/VA2242.png,other
17,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672111/VA2241.png,clay_tile
18,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672110/VA2240.png,metal
19,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672109/VA2239.png,metal
20,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672108/VA2238.png,metal
21,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672108/VA2237.png,metal
22,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672107/VA2236.png,clay_tile
23,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672106/VA2235.png,metal
24,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672105/VA2234.png,clay_tile
25,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672105/VA2233.png,clay_tile
26,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672104/VA2232.png,other
27,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672100/VA2231.png,other
28,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672099/VA2230.png,other
29,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672098/VA2229.png,metal
30,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672098/VA2228.png,other
31,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672097/VA2227.png,clay_tile
32,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672096/VA2226.png,clay_tile
34,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672095/VA2224.png,metal
35,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672094/VA2223.png,metal
36,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672092/VA2222.png,metal
37,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672091/VA2221.png,metal
38,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672090/VA2220.png,metal
39,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672089/VA2219.png,metal
40,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672088/VA2218.png,metal
41,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672088/VA2217.png,metal
42,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672087/VA2216.png,clay_tile
43,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672086/VA2215.png,metal
44,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672085/VA2214.png,asphalt_shingle
45,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672083/VA2213.png,clay_tile
46,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672082/VA2212.png,metal
47,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672081/VA2211.png,metal
48,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672080/VA2210.png,asphalt_shingle
49,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672079/VA2209.png,clay_tile
50,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672078/VA2208.png,metal
51,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672077/VA2207.png,metal
52,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672076/VA2206.png,clay_tile
53,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672075/VA2205.png,metal
54,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672074/VA2204.png,clay_tile
55,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672073/VA2203.png,asphalt_shingle
56,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672072/VA2202.png,metal
57,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672071/VA2201.png,asphalt_shingle
58,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672070/VA2200.png,metal
59,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672069/VA2199.png,clay_tile
60,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672069/VA2198.png,asphalt_shingle
61,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672068/VA2197.png,asphalt_shingle
63,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672067/VA2195.png,asphalt_shingle
64,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672066/VA2194.png,asphalt_shingle
65,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672065/VA2193.png,clay_tile
66,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672064/VA2192.png,metal
67,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672062/VA2191.png,metal
68,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672061/VA2190.png,metal
69,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672060/VA2189.png,metal
70,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672059/VA2188.png,metal
71,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672058/VA2187.png,metal
72,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672057/VA2186.png,other
73,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672054/VA2185.png,metal
74,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672053/VA2184.png,asphalt_shingle
75,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672052/VA2183.png,metal
76,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672051/VA2182.png,other
77,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672050/VA2181.png,other
78,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672049/VA2180.png,metal
79,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672048/VA2179.png,metal
80,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672047/VA2178.png,metal
81,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672046/VA2177.png,asphalt_shingle
82,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672046/VA2176.png,metal
83,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672045/VA2175.png,metal
84,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672044/VA2174.png,metal
85,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672043/VA2173.png,other
86,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672041/VA2172.png,metal
87,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672041/VA2171.png,other
88,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672040/VA2170.png,metal
89,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672039/VA2169.png,other
90,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672038/VA2168.png,asphalt_shingle
91,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672037/VA2167.png,metal
92,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672036/VA2166.png,other
93,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672035/VA2165.png,other
94,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672034/VA2164.png,other
95,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672033/VA2163.png,other
96,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672032/VA2162.png,other
97,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672031/VA2161.png,other
98,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672030/VA2160.png,metal
99,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672029/VA2159.png,metal
100,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672028/VA2158.png,other
101,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672027/VA2157.png,other
102,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672027/VA2156.png,other
103,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672024/VA2155.png,other
104,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672022/VA2154.png,other
106,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672020/VA2152.png,other
107,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672019/VA2151.png,other
108,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672018/VA2150.png,other
109,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672017/VA2149.png,other
110,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672017/VA2148.png,other
111,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672016/VA2147.png,other
112,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672015/VA2146.png,other
113,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672014/VA2145.png,other
114,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672013/VA2144.png,asphalt_shingle
115,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672012/VA2143.png,asphalt_shingle
116,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672012/VA2142.png,other
117,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672011/VA2141.png,metal
118,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672010/VA2140.png,other
119,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672009/VA2139.png,other
120,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672008/VA2138.jpg,metal
121,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672007/VA2137.jpg,other
122,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672007/VA2136.jpg,metal
123,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672006/VA2135.jpg,other
124,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672005/VA2134.jpg,other
125,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672004/VA2133.jpg,other
126,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672003/VA2132.jpg,asphalt_shingle
127,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672002/VA2131.jpg,other
128,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672002/VA2130.jpg,other
129,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672001/VA2129.jpg,metal
130,https://res.cloudinary.com/mtylerpreston/image/upload/v1547672000/VA2128.jpg,asphalt_shingle
131,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671999/VA2127.jpg,asphalt_shingle
132,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671999/VA2126.jpg,other
133,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671998/VA2125.jpg,asphalt_shingle
134,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671997/VA2124.jpg,other
135,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671996/VA2123.jpg,asphalt_shingle
136,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671996/VA2122.jpg,other
137,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671995/VA2121.jpg,other
138,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671994/VA2120.jpg,other
139,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671992/VA2119.jpg,other
140,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671991/VA2118.jpg,other
141,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671990/VA2117.jpg,other
142,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671989/VA2116.jpg,other
143,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671989/VA2115.jpg,other
144,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671988/VA2114.jpg,other
145,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671987/VA2113.jpg,other
146,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671986/VA2112.jpg,other
147,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671985/VA2111.jpg,asphalt_shingle
148,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671985/VA2110.jpg,other
149,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671983/VA2109.jpg,other
150,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671982/VA2108.jpg,other
151,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671981/VA2107.jpg,other
152,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671978/VA2106.jpg,other
153,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671977/VA2105.jpg,other
154,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671977/VA2104.jpg,other
155,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671976/VA2103.jpg,other
156,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671975/VA2102.jpg,other
157,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671974/VA2101.jpg,metal
158,https://res.cloudinary.com/mtylerpreston/image/upload/v1547671974/VA2100.jpg,other
